no_bairro;co_municipio;co_cep;no_entidade;in_internet_alunos;qt_prof_assist_social;qt_doc_bas;qt_doc_fund;qt_doc_med;qt_doc_esp;qt_tur_bas;qt_tur_fund;qt_tur_med;qt_tur_esp;co_entidade
COLEGIO BASTISTA                                  ;3106200                                                                                             ;31110272            ;BATISTA BABY                                                                                        ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31367362                                                                                            
MILIONARIOS BARREIRO                              ;3106200                                                                                             ;30620060            ;IEDAM                                                                                               ;0                                                                                                   ;0;4;0;0;0;4;0;0;0;31367370                                                                                            
SAO FRANSCISCO                                    ;3106200                                                                                             ;31255160            ;INSTITUTO EDUCACIONAL FONTE DE ALEGRIA                                                              ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31367389                                                                                            
SANTA MONICA                                      ;3106200                                                                                             ;31520530            ;ESCOLA INFANTIL TIC-TAC                                                                             ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31367397                                                                                            
ITAPOA                                            ;3106200                                                                                             ;31710100            ;TRILHA DO SOL JARDIM DE INFANCIA                                                                    ;0                                                                                                   ;0;2;0;0;0;2;0;0;0;31367400                                                                                            
CONJUNTO CALIFORNIA I                             ;3106200                                                                                             ;30850570            ;INSTITUTO FLAVIA RAQUEL DE ENSINO LTDA - ME                                                         ;0                                                                                                   ;0;9;5;0;0;9;4;0;0;31367419                                                                                            
HORTO                                             ;3106200                                                                                             ;31010500            ;INSTITUTO EDUCACIONAL GENIUS LTDA                                                                   ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31367427                                                                                            
PENHA                                             ;3106200                                                                                             ;31920000            ;NUCLEO PEDAGOGICO TIRANDO DE LETRA                                                                  ;0                                                                                                   ;0;3;0;0;0;4;0;0;0;31367435                                                                                            
FUNCIONARIOS                                      ;3106200                                                                                             ;30130141            ;COLEGIO M2 - BH SAVASSI                                                                             ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31368008                                                                                            
JARDINOPOLIS                                      ;3106200                                                                                             ;30510500            ;ESCOLA INFANTIL MICKEY                                                                              ;0                                                                                                   ;0;2;0;0;0;2;0;0;0;31368059                                                                                            
BARREIRO                                          ;3106200                                                                                             ;30640120            ;ATOS SCHOOL EDUCACIONAL                                                                             ;1                                                                                                   ;0;26;16;14;9;15;9;3;2;31368105                                                                                            
SAGRADA FAMILIA                                   ;3106200                                                                                             ;31030480            ;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL SAGRADA FAMILIA                                               ;0                                                                                                   ;0;11;0;0;11;8;0;0;7;31368130                                                                                            
BRAUNAS                                           ;3106200                                                                                             ;31370310            ;COLEGIO M2 - BH                                                                                     ;1                                                                                                   ;0;36;25;13;7;26;15;3;3;31368300                                                                                            
VALE DO JATOBA                                    ;3106200                                                                                             ;30666070            ;COLEGIO MIRTES BARBOSA                                                                              ;1                                                                                                   ;0;5;3;0;0;7;5;0;0;31368326                                                                                            
ESTORIL                                           ;3106200                                                                                             ;30494060            ;COLEGUIUM - UNIDADE BURITIS                                                                         ;1                                                                                                   ;0;30;17;13;0;17;10;3;0;31368342                                                                                            
MILIONARIOS                                       ;3106200                                                                                             ;30620070            ;INSTITUTO ROUSSEAU                                                                                  ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31368431                                                                                            
CENTRO                                            ;3106200                                                                                             ;30170120            ;CENTRO DE ENSINO TECNICO DE MINAS GERAIS - CETEMG                                                   ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31368440                                                                                            
PIRATININGA                                       ;3106200                                                                                             ;31573550            ;CENTRO EDUCACIONAL CANTINHO DA CRIANCA                                                              ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31368512                                                                                            
BOA VIAGEM                                        ;3106200                                                                                             ;30130170            ;COLEGIO INFANTUS                                                                                    ;0                                                                                                   ;0;3;0;0;1;5;0;0;1;31368571                                                                                            
DONA CLARA                                        ;3106200                                                                                             ;31260240            ;ESCOLA VIDEIRA DE EDUCACAO                                                                          ;0                                                                                                   ;0;7;4;0;0;7;3;0;0;31368580                                                                                            
PEDREIRA PRADO LOPES                              ;3106200                                                                                             ;31210580            ;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL PEDRO LESSA                                                   ;0                                                                                                   ;0;14;0;0;0;8;0;0;0;31368644                                                                                            
