no_bairro;co_municipio;co_cep;no_entidade;in_internet_alunos;qt_prof_assist_social;qt_doc_bas;qt_doc_fund;qt_doc_med;qt_doc_esp;qt_tur_bas;qt_tur_fund;qt_tur_med;qt_tur_esp;co_entidade
LAGOINHA                                          ;3106200                                                                                             ;31210120            ;ESC TEC POLIMIG LAGOINHA                                                                            ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31007285                                                                                            
LOURDES                                           ;3106200                                                                                             ;30160011            ;EDUCACAO INFANTIL - COLEGIO IMACULADA CONCEICAO                                                     ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31007307                                                                                            
PADRE EUSTAQUIO                                   ;3106200                                                                                             ;30720360            ;ESC INF VITALZINHO                                                                                  ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31007323                                                                                            
ALTO DOS PINHEIROS                                ;3106200                                                                                             ;30530230            ;ESCOLA INFANTIL ESTRELINHA DOURADA                                                                  ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31007358                                                                                            
SAO BENTO                                         ;3106200                                                                                             ;30350360            ;RECREIO CENTRO DE CRIATIVIDADE E DESENVOLVIMENTO INFANTIL                                           ;1                                                                                                   ;0;13;5;0;8;9;1;0;4;31007404                                                                                            
OURO PRETO                                        ;3106200                                                                                             ;31310370            ;ESCOLA INFANTIL GENTE INOCENTE                                                                      ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31007412                                                                                            
SANTO ANTONIO                                     ;3106200                                                                                             ;30350190            ;INSTITUTO LIDER DE ENSINO                                                                           ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31007439                                                                                            
BONFIM                                            ;3106200                                                                                             ;31210170            ;JARDIM DE INFANCIA CINDERELA                                                                        ;0                                                                                                   ;0;3;0;0;0;3;0;0;0;31007463                                                                                            
SAO JOAO BATISTA VENDA NOVA                       ;3106200                                                                                             ;31535510            ;COLEGIO FRANCISCANO CORACAO DE MARIA                                                                ;1                                                                                                   ;1;47;37;17;30;26;20;3;5;31007498                                                                                            
ITAPOA                                            ;3106200                                                                                             ;31720300            ;INSTITUTO DULCE VIEIRA TORRES                                                                       ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31007528                                                                                            
PROVIDENCIA                                       ;3106200                                                                                             ;31814030            ;ESCOLA INFANTIL FLORZINHA AZUL                                                                      ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31007552                                                                                            
SANTA BRANCA                                      ;3106200                                                                                             ;31565170            ;COLEGIO SANTA BRANCA                                                                                ;1                                                                                                   ;0;30;25;13;10;22;15;3;1;31007561                                                                                            
PARQUE SAO PEDRO VENDA NOVA                       ;3106200                                                                                             ;31610220            ;ESCOLA INFANTIL SANTA TEREZINHA                                                                     ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31007579                                                                                            
SANTA BRANCA                                      ;3106200                                                                                             ;31565260            ;SISTEMA PIAGET DE ENSINO                                                                            ;0                                                                                                   ;0;24;17;15;22;11;8;3;3;31007587                                                                                            
VILA CLORIS                                       ;3106200                                                                                             ;31744125            ;JARDIM DE INFANCIA BARQUINHO AMARELO                                                                ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31007625                                                                                            
PAMPULHA                                          ;3106200                                                                                             ;31270901            ;UFMG - TEATRO UNIVERSITARIO                                                                         ;1                                                                                                   ;0;8;0;0;0;3;0;0;0;31007643                                                                                            
ITAPOA                                            ;3106200                                                                                             ;31710050            ;ESC INF LIMA BARRETO                                                                                ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31007668                                                                                            
SERRA VERDE VENDA NOVA                            ;3106200                                                                                             ;31630900            ;DINE- ESCOLA TESTE                                                                                  ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31037933                                                                                            
PEDREIRA PRADO LOPES                              ;3106200                                                                                             ;31210680            ;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL MARIA DA GLORIA LOMMEZ                                        ;0                                                                                                   ;0;25;0;0;24;13;0;0;6;31205681                                                                                            
JARDIM SAO JOSE                                   ;3106200                                                                                             ;30820650            ;ESCOLA MUNICIPAL IGNACIO DE ANDRADE MELO                                                            ;1                                                                                                   ;0;33;29;0;24;23;19;0;15;31205699                                                                                            
BETANIA                                           ;3106200                                                                                             ;30590232            ;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL MARIA SALES FERREIRA                                          ;1                                                                                                   ;0;25;0;0;21;21;0;0;11;31205702                                                                                            
RIO BRANCO                                        ;3106200                                                                                             ;31535504            ;ESCOLA MUNICIPAL PROFESSOR TABAJARA PEDROSO                                                         ;1                                                                                                   ;0;43;23;0;24;35;20;0;16;31206521                                                                                            
LETICIA                                           ;3106200                                                                                             ;31570340            ;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL VEREADOR ANTONIO MENEZES                                      ;1                                                                                                   ;0;24;0;0;17;14;0;0;9;31206539                                                                                            
ALIPIO DE MELO                                    ;3106200                                                                                             ;30411343            ;COLEGIO TANCREDO NEVES                                                                              ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31210013                                                                                            
JARDINOPOLIS                                      ;3106200                                                                                             ;30510530            ;JARDIM DE INFANCIA TIA MARTINHA                                                                     ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31210021                                                                                            
FLORESTA                                          ;3106200                                                                                             ;30150380            ;COL COTEMIG FLORESTA                                                                                ;1                                                                                                   ;0;29;0;19;22;22;0;11;8;31210048                                                                                            
BRASIL INDUSTRIAL BARREIRO                        ;3106200                                                                                             ;30626160            ;SICRA - SOCIEDADE IRMAOS DAS CRIANCAS                                                               ;0                                                                                                   ;0;14;0;0;2;13;0;0;2;31210064                                                                                            
BARREIRO                                          ;3106200                                                                                             ;30642550            ;JARDIM EDUCACIONAL JANELINHA DO BEM SABER                                                           ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31210072                                                                                            
BARREIRO DE CIMA                                  ;3106200                                                                                             ;30626550            ;INSTITUTO EDUCACIONAL DA CRIANCA                                                                    ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31210081                                                                                            
JOAO PINHEIRO                                     ;3106200                                                                                             ;30530140            ;INST EDUC BAIAO SANTOS                                                                              ;1                                                                                                   ;0;26;18;10;3;16;9;3;1;31210102                                                                                            
JARDIM AMERICA                                    ;3106200                                                                                             ;30421265            ;CENTRO EDUCACIONAL SENHORA DA PAZ                                                                   ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31210111                                                                                            
ALIPIO DE MELO                                    ;3106200                                                                                             ;30820650            ;CENTRO PEDAGOGICO SONHO FELIZ                                                                       ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31210129                                                                                            
NOVA SUICA                                        ;3106200                                                                                             ;30421265            ;ESC INF ABELHINHA DENGOSA                                                                           ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31210145                                                                                            
HAVAI                                             ;3106200                                                                                             ;30570240            ;ESC INF GATO DE BOTAS                                                                               ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31210161                                                                                            
JARDIM AMERICA                                    ;3106200                                                                                             ;30431320            ;ESC INF MINI NINHO JD AMERICA                                                                       ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31210170                                                                                            
CARLOS PRATES                                     ;3106200                                                                                             ;30710300            ;ESCOLA INFANTIL OVELHINHA FELIZ                                                                     ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31210188                                                                                            
SERRANO                                           ;3106200                                                                                             ;30882370            ;ESCOLA EDUCAR - ENSINO FUNDAMENTAL                                                                  ;1                                                                                                   ;0;20;20;0;5;9;9;0;1;31210200                                                                                            
NOVA SUICA                                        ;3106200                                                                                             ;30421305            ;INSTITUTO MONTESSORI CASA DA CRIANCA                                                                ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31210218                                                                                            
PRADO                                             ;3106200                                                                                             ;30411135            ;JARDIM DE INFANCIA DESPERTAR                                                                        ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31210226                                                                                            
PRADO                                             ;3106200                                                                                             ;30411241            ;INSTITUTO EDUCACIONAL TRENZINHO AZUL                                                                ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31210234                                                                                            
SERRA                                             ;3106200                                                                                             ;30220000            ;COLEGIO METODO                                                                                      ;1                                                                                                   ;0;11;9;9;0;4;1;3;0;31210251                                                                                            
VILA CAPRI                                        ;3106200                                                                                             ;31510000            ;ESCOLA INFANTIL TIA PAULINA                                                                         ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31210277                                                                                            
VENDA NOVA                                        ;3106200                                                                                             ;31610000            ;INSTITUTO PADRE ANGELICO LIPANI                                                                     ;0                                                                                                   ;0;17;17;0;8;9;9;0;1;31210285                                                                                            
NOVA SUICA                                        ;3106200                                                                                             ;30421151            ;ESCOLA INFANTIL CAMINHO FELIZ                                                                       ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31211371                                                                                            
PALMEIRAS                                         ;3106200                                                                                             ;30575330            ;ESCOLA MORANGUINHO                                                                                  ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31211389                                                                                            
PENHA                                             ;3106200                                                                                             ;31920270            ;ESCOLA MUNICIPAL HENRIQUETA LISBOA                                                                  ;1                                                                                                   ;0;34;34;0;32;25;25;0;21;31212768                                                                                            
MIRAMAR                                           ;3106200                                                                                             ;30644030            ;ESCOLA MUNICIPAL DULCE MARIA HOMEM                                                                  ;1                                                                                                   ;0;36;36;0;31;25;25;0;16;31212776                                                                                            
NOSSA SENHORA DE FATIMA                           ;3106200                                                                                             ;30230000            ;ESCOLA MUNICIPAL PROFESSOR EDSON PISANI                                                             ;1                                                                                                   ;0;23;20;0;10;24;20;0;8;31212784                                                                                            
JARDIM FELICIDADE                                 ;3106200                                                                                             ;31742420            ;ESCOLA MUNICIPAL JARDIM FELICIDADE                                                                  ;1                                                                                                   ;0;30;28;0;22;22;19;0;9;31212792                                                                                            
OURO PRETO                                        ;3106200                                                                                             ;31310400            ;COLEGUIUM - ENSINO FUNDAMENTAL E MEDIO                                                              ;1                                                                                                   ;0;36;23;13;12;32;22;7;1;31217123                                                                                            
UNIVERSITARIO                                     ;3106200                                                                                             ;31255360            ;CENTRO EDUCACIONAL PRIMEIROS PASSOS                                                                 ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31217131                                                                                            
ALIPIO DE MELO                                    ;3106200                                                                                             ;30840020            ;CENTRO PEDAGOGICO GENTE MIUDA                                                                       ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31217140                                                                                            
ALIPIO DE MELO                                    ;3106200                                                                                             ;30830500            ;CENTRO PEDAGOGICO CRIANCA ESPERANCA                                                                 ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31217158                                                                                            
NOVO GLORIA                                       ;3106200                                                                                             ;30870300            ;INST EDUC GABRIELA LEOPOLDINA                                                                       ;0                                                                                                   ;0;22;18;12;16;14;9;3;2;31217166                                                                                            
CARMO                                             ;3106200                                                                                             ;30310750            ;ESCOLA LUCIA CASASANTA                                                                              ;0                                                                                                   ;0;53;28;0;4;44;20;0;1;31217182                                                                                            
CAICARA                                           ;3106200                                                                                             ;30775070            ;INSTITUTO FAVO DE MEL                                                                               ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31217204                                                                                            
LAGOINHA LEBLON VENDA NOVA                        ;3106200                                                                                             ;31575060            ;INSTITUTO EDUCACIONAL SETE ANOES                                                                    ;0                                                                                                   ;0;1;0;0;0;1;0;0;0;31217212                                                                                            
CORACAO EUCARISTICO                               ;3106200                                                                                             ;30535610            ;INST PEDAGOGICO                                                                                     ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31217221                                                                                            
MIRAMAR BARREIRO                                  ;3106200                                                                                             ;30642550            ;INSTITUTO ELIZABETH TEIXEIRA DIAS                                                                   ;0                                                                                                   ;0;8;6;0;2;9;5;0;1;31217239                                                                                            
DOM BOSCO                                         ;3106200                                                                                             ;30830100            ;ESCOLA INFANTIL BARAO E BARONESA                                                                    ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31217247                                                                                            
GUARANI                                           ;3106200                                                                                             ;31840120            ;INSTITUTO EDUCACIONAL MANOEL PINHEIRO                                                               ;1                                                                                                   ;0;20;14;11;13;10;7;3;2;31217263                                                                                            
SAGRADA FAMILIA                                   ;3106200                                                                                             ;31035520            ;ESCOLA INFANTIL BEABA LTDA                                                                          ;0                                                                                                   ;0;2;0;0;0;3;0;0;0;31217271                                                                                            
LINDEIA                                           ;3106200                                                                                             ;30690700            ;ESCOLA MUNICIPAL AURELIO BUARQUE DE HOLANDA                                                         ;1                                                                                                   ;0;48;46;0;38;35;31;0;18;31217786                                                                                            
ALIPIO DE MELO                                    ;3106200                                                                                             ;30840040            ;ESCOLA MUNICIPAL MARLENE PEREIRA RANCANTE                                                           ;1                                                                                                   ;0;41;36;0;36;28;25;0;17;31217794                                                                                            
SANTO ANTONIO                                     ;3106200                                                                                             ;30330240            ;ESCOLA MUNICIPAL SANTO ANTONIO                                                                      ;1                                                                                                   ;0;11;11;0;11;12;12;0;12;31217808                                                                                            
LETICIA                                           ;3106200                                                                                             ;31570340            ;ESCOLA MUNICIPAL DE ENSINO ESPECIAL DO BAIRRO VENDA NOVA                                            ;1                                                                                                   ;0;16;16;0;16;12;12;0;12;31217816                                                                                            
JATOBA                                            ;3106200                                                                                             ;30664800            ;ESCOLA MUNICIPAL ELOY HERALDO LIMA                                                                  ;1                                                                                                   ;0;46;39;0;30;35;29;0;12;31217824                                                                                            
ERNESTO DO NASCIMENTO                             ;3106200                                                                                             ;30668430            ;ESCOLA MUNICIPAL LUIZ GONZAGA JUNIOR                                                                ;1                                                                                                   ;0;26;24;0;13;21;20;0;7;31217832                                                                                            
TIROL                                             ;3106200                                                                                             ;30662180            ;ESCOLA MUNICIPAL VINICIUS DE MORAES                                                                 ;1                                                                                                   ;0;52;48;0;47;40;35;0;24;31217841                                                                                            
VILA PINHO                                        ;3106200                                                                                             ;30670050            ;ESCOLA MUNICIPAL DA VILA PINHO                                                                      ;1                                                                                                   ;0;34;33;0;30;30;27;0;18;31217859                                                                                            
CASTANHEIRA                                       ;3106200                                                                                             ;30668160            ;ESCOLA MUNICIPAL EDITH PIMENTA DA VEIGA                                                             ;1                                                                                                   ;0;48;42;0;32;36;28;0;18;31217867                                                                                            
CONJUNTO TAQUARIL                                 ;3106200                                                                                             ;30290590            ;ESCOLA MUNICIPAL FERNANDO DIAS COSTA                                                                ;1                                                                                                   ;0;30;28;0;25;28;26;0;17;31217875                                                                                            
ACAIACA                                           ;3106200                                                                                             ;31995040            ;ESCOLA MUNICIPAL MURILO RUBIAO                                                                      ;1                                                                                                   ;0;52;52;0;37;43;43;0;22;31217883                                                                                            
VILA CLORIS                                       ;3106200                                                                                             ;31744060            ;ESCOLA MUNICIPAL FRANCISCO MAGALHAES GOMES                                                          ;1                                                                                                   ;0;44;39;0;28;31;28;0;10;31217891                                                                                            
DONA CLARA                                        ;3106200                                                                                             ;31260200            ;COLEGIO BATISTA GETSEMANI                                                                           ;1                                                                                                   ;0;48;35;19;37;26;14;3;9;31218529                                                                                            
SAO GERALDO                                       ;3106200                                                                                             ;31050714            ;ESCOLA MUNICIPAL PADRE FRANCISCO CARVALHO MOREIRA                                                   ;1                                                                                                   ;0;36;24;0;23;31;18;0;17;31218618                                                                                            
CONFISCO                                          ;3106200                                                                                             ;31360510            ;ESCOLA MUNICIPAL ANNE FRANK                                                                         ;1                                                                                                   ;0;42;30;0;32;33;23;0;17;31219185                                                                                            
NAZARE                                            ;3106200                                                                                             ;31990160            ;ESCOLA MUNICIPAL PROFESSORA MARIA MAZARELLO                                                         ;1                                                                                                   ;0;32;32;0;29;24;24;0;19;31219193                                                                                            
SAO GABRIEL                                       ;3106200                                                                                             ;31980630            ;ESCOLA MUNICIPAL OSWALDO FRANCA JUNIOR                                                              ;1                                                                                                   ;0;46;46;0;43;40;35;0;28;31219223                                                                                            
SANTA TEREZINHA                                   ;3106200                                                                                             ;31365150            ;ESCOLA MUNICIPAL SANTA TEREZINHA                                                                    ;1                                                                                                   ;0;47;47;0;41;33;33;0;19;31219231                                                                                            
GLORIA                                            ;3106200                                                                                             ;30860330            ;ESCOLA MUNICIPAL PREFEITO OSWALDO PIERUCCETTI                                                       ;1                                                                                                   ;0;33;24;0;21;25;17;0;13;31219398                                                                                            
CONJUNTO PAULO VI                                 ;3106200                                                                                             ;31998020            ;ESCOLA MUNICIPAL SOBRAL PINTO                                                                       ;1                                                                                                   ;0;27;27;0;17;20;20;0;6;31219550                                                                                            
SANTA AMELIA                                      ;3106200                                                                                             ;31560450            ;ESCOLA MUNICIPAL PROFESSOR AMILCAR MARTINS                                                          ;1                                                                                                   ;0;41;37;0;38;34;30;0;19;31219568                                                                                            
SAO CRISTOVAO                                     ;3106200                                                                                             ;31110550            ;LAPIS DE COR JARDIM DE INFANCIA                                                                     ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31220302                                                                                            
CAICARAS                                          ;3106200                                                                                             ;30770440            ;INST DIMENSAO                                                                                       ;1                                                                                                   ;0;15;14;0;8;11;9;0;2;31220329                                                                                            
SAO CRISTOVAO                                     ;3106200                                                                                             ;31110440            ;COLEGIO CRISTAO DE BELO HORIZONTE                                                                   ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31220337                                                                                            
SANTA TEREZINHA                                   ;3106200                                                                                             ;31365190            ;COLEGIO INTER ACAO                                                                                  ;1                                                                                                   ;0;19;19;0;15;9;9;0;4;31220345                                                                                            
SAO JOAO BATISTA VENDA NOVA                       ;3106200                                                                                             ;31515215            ;COLEGIO HELENA BICALHO                                                                              ;1                                                                                                   ;0;25;19;15;21;12;9;3;5;31220353                                                                                            
BARROCA                                           ;3106200                                                                                             ;30431080            ;ESC DE EDUC INF REGINA PACIS                                                                        ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31221350                                                                                            
SAO LUIZ                                          ;3106200                                                                                             ;31275080            ;INSTITUTO DE DESENVOLVIMENTO DA CRIANCA                                                             ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31221368                                                                                            
CAICARA                                           ;3106200                                                                                             ;30770550            ;ESCOLA CANTINHO FELIZ                                                                               ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31221376                                                                                            
